antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,connection
PAPER CHAIN KIT 50'S CHRISTMAS ,JUMBO BAG 50'S CHRISTMAS ,0.11605795351645035,0.07440386356776335,0.024901901599758528,0.21456436931079326,2.883779941284617,0.016266741460366736,1.1784493856231624,0.7389996947449569,010016
JUMBO BAG RED RETROSPOT,JUMBO BAG 50'S CHRISTMAS ,0.08255357681859342,0.07440386356776335,0.01977060066405071,0.23948811700182815,3.2187591546736583,0.013628295597409214,1.2170699197798882,0.7513477131257779,007016
JUMBO BAG VINTAGE DOILY ,JUMBO BAG 50'S CHRISTMAS ,0.07078176878961666,0.07440386356776335,0.02037428312707516,0.28784648187633266,3.868703425786167,0.01510784605896755,1.299714335289578,0.7979992661168559,008016
PAPER CHAIN KIT 50'S CHRISTMAS ,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.11605795351645035,0.08149713250830064,0.05418050105644431,0.4668400520156047,5.728300341954438,0.04472211064007196,1.7227529392710166,0.9338034673173969,010033
HOT WATER BOTTLE KEEP CALM,CHOCOLATE HOT WATER BOTTLE,0.099456685783278,0.06610322970117719,0.034560821008149716,0.34749620637329287,5.256871834313786,0.027986412862499886,1.4312510968068006,0.8992047235047492,004003
LOVE HOT WATER BOTTLE,CHOCOLATE HOT WATER BOTTLE,0.062481134923030486,0.06610322970117719,0.016903108964684575,0.27053140096618356,4.092559504114,0.012772904150877246,1.2802425923963994,0.8060148560390028,009003
HOT WATER BOTTLE TEA AND SYMPATHY,CHOCOLATE HOT WATER BOTTLE,0.06353757923332327,0.06610322970117719,0.03350437669785693,0.5273159144893111,7.977158103667067,0.029304337503139814,1.9757313582703737,0.9339852342269748,005003
SCOTTIE DOG HOT WATER BOTTLE,CHOCOLATE HOT WATER BOTTLE,0.06036824630244492,0.06610322970117719,0.022487171747660732,0.3725,5.635125570776255,0.018496635695672975,1.4882817056554947,0.8753872588862034,014003
HOT WATER BOTTLE KEEP CALM,HOT WATER BOTTLE I AM SO POORLY,0.099456685783278,0.049501961968004826,0.026863869604587986,0.2701062215477997,5.456475073096709,0.02194056852748035,1.302241594725748,0.9069319459273194,004013
CHOCOLATE HOT WATER BOTTLE,HOT WATER BOTTLE I AM SO POORLY,0.06610322970117719,0.049501961968004826,0.028825837609417447,0.4360730593607306,8.809207595500613,0.025553598046787487,1.6854985451741453,0.9492295508618269,001013
LOVE HOT WATER BOTTLE,HOT WATER BOTTLE I AM SO POORLY,0.062481134923030486,0.049501961968004826,0.014639299728342891,0.23429951690821255,4.7331359726640745,0.011546360963665257,1.241344440836738,0.8412882283043793,009013
HOT WATER BOTTLE TEA AND SYMPATHY,HOT WATER BOTTLE I AM SO POORLY,0.06353757923332327,0.049501961968004826,0.02369453667370963,0.3729216152019002,7.533471409535948,0.020549301842962567,1.5157563409525376,0.926101305193572,005013
SCOTTIE DOG HOT WATER BOTTLE,HOT WATER BOTTLE I AM SO POORLY,0.06036824630244492,0.049501961968004826,0.016752188348928464,0.27749999999999997,5.605838414634146,0.013763841716389688,1.315568218729405,0.874400581114362,014013
HOT WATER BOTTLE KEEP CALM,HOT WATER BOTTLE TEA AND SYMPATHY,0.099456685783278,0.06353757923332327,0.03259885300332025,0.32776934749620634,5.158669112850031,0.02627961595008149,1.393067122540045,0.8951835403360457,004015
CHOCOLATE HOT WATER BOTTLE,HOT WATER BOTTLE TEA AND SYMPATHY,0.06610322970117719,0.06353757923332327,0.03350437669785693,0.5068493150684931,7.977158103667066,0.029304337503139814,1.8989376865546497,0.9365511277275983,001015
LOVE HOT WATER BOTTLE,HOT WATER BOTTLE TEA AND SYMPATHY,0.062481134923030486,0.06353757923332327,0.018110473890733475,0.2898550724637681,4.561947054976075,0.014140573829973463,1.3186919802632795,0.8328316162266581,009015
SCOTTIE DOG HOT WATER BOTTLE,HOT WATER BOTTLE TEA AND SYMPATHY,0.06036824630244492,0.06353757923332327,0.019015997585270148,0.315,4.957695961995249,0.015180345352651779,1.3670984244769002,0.8495811216659273,014015
HOT WATER BOTTLE KEEP CALM,LOVE HOT WATER BOTTLE,0.099456685783278,0.062481134923030486,0.030033202535466343,0.3019726858877086,4.833021779449171,0.023819035932043903,1.3430976784472235,0.8806795836059803,004029
CHOCOLATE HOT WATER BOTTLE,LOVE HOT WATER BOTTLE,0.06610322970117719,0.062481134923030486,0.016903108964684575,0.2557077625570776,4.092559504114001,0.012772904150877246,1.259611235900959,0.8091409640779387,001029
HOT WATER BOTTLE TEA AND SYMPATHY,LOVE HOT WATER BOTTLE,0.06353757923332327,0.062481134923030486,0.018110473890733475,0.2850356294536817,4.561947054976075,0.014140573829973463,1.3112805388618078,0.8337711522965351,005029
SCOTTIE DOG HOT WATER BOTTLE,LOVE HOT WATER BOTTLE,0.06036824630244492,0.062481134923030486,0.02052520374283127,0.33999999999999997,5.441642512077294,0.016753327200541474,1.420483128904499,0.8686721717276695,014029
HOT WATER BOTTLE KEEP CALM,SCOTTIE DOG HOT WATER BOTTLE,0.099456685783278,0.06036824630244492,0.025505584062782975,0.2564491654021244,4.248080424886191,0.019501558358993178,1.2637088279320179,0.8490425148970224,004038
HAND WARMER OWL DESIGN,SCOTTIE DOG HOT WATER BOTTLE,0.06881980078478721,0.06036824630244492,0.01569574403863568,0.22807017543859648,3.7779824561403506,0.011541213354374453,1.2172502263809237,0.7896521630719362,003038
CHOCOLATE HOT WATER BOTTLE,SCOTTIE DOG HOT WATER BOTTLE,0.06610322970117719,0.06036824630244492,0.022487171747660732,0.3401826484018265,5.635125570776256,0.018496635695672975,1.4240785748080593,0.8807629401786528,001038
LOVE HOT WATER BOTTLE,SCOTTIE DOG HOT WATER BOTTLE,0.062481134923030486,0.06036824630244492,0.02052520374283127,0.3285024154589372,5.441642512077295,0.016753327200541474,1.399307719535208,0.8706299003825613,009038
HOT WATER BOTTLE TEA AND SYMPATHY,SCOTTIE DOG HOT WATER BOTTLE,0.06353757923332327,0.06036824630244492,0.019015997585270148,0.2992874109263658,4.957695961995249,0.015180345352651779,1.3409659942599008,0.8524564163564969,005038
WHITE HANGING HEART T-LIGHT HOLDER,RED HANGING HEART T-LIGHT HOLDER,0.0810443706610323,0.03969212194385753,0.026260187141563536,0.324022346368715,8.163391889882531,0.023043364098422652,1.4206207452235495,0.9548903902458361,015034
JUMBO BAG RED RETROSPOT,JUMBO BAG ALPHABET,0.08255357681859342,0.04406881980078479,0.017657712043465137,0.21389396709323583,4.8536350204102074,0.0140196733427363,1.2160333850441178,0.8654116806773494,007017
JUMBO BAG VINTAGE DOILY ,JUMBO BAG ALPHABET,0.07078176878961666,0.04406881980078479,0.014941140959855116,0.21108742004264391,4.789949469871776,0.011821871945884686,1.2117073608471134,0.8515002222976885,008017
JUMBO BAG RED RETROSPOT,JUMBO BAG APPLES,0.08255357681859342,0.03637186839722306,0.018110473890733475,0.2193784277879342,6.031541338269095,0.01510784605896755,1.234436974207773,0.9092682458737732,007018
JUMBO BAG VINTAGE DOILY ,JUMBO BAG APPLES,0.07078176878961666,0.03637186839722306,0.01856323573800181,0.2622601279317697,7.210521193675959,0.015988770558663202,1.3061895772303538,0.9269230210573991,008018
JUMBO BAG RED RETROSPOT,JUMBO BAG PINK POLKADOT,0.08255357681859342,0.03833383640205252,0.02369453667370963,0.2870201096892139,7.487382861420201,0.020529941365541392,1.3487984397130186,0.9444060842222833,007021
JUMBO BAG VINTAGE DOILY ,JUMBO BAG PINK POLKADOT,0.07078176878961666,0.03833383640205252,0.015997585270147902,0.2260127931769723,5.895908533821332,0.01328424852511883,1.2424832802408743,0.8936446014813635,008021
JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,0.08255357681859342,0.025354663447026863,0.017657712043465137,0.21389396709323583,8.436079916427266,0.015564593886881422,1.239839532777852,0.9607771183688275,007023
JUMBO BAG RED RETROSPOT,JUMBO BAG VINTAGE DOILY ,0.08255357681859342,0.07078176878961666,0.03244793238756414,0.3930530164533821,5.553026198337121,0.026604644200434603,1.5309710014219269,0.893695796049687,007025
JUMBO BAG 50'S CHRISTMAS ,JUMBO BAG VINTAGE DOILY ,0.07440386356776335,0.07078176878961666,0.02037428312707516,0.27383367139959436,3.8687034257861668,0.01510784605896755,1.2796217541528465,0.8011220416568533,006025
JUMBO BAG RED RETROSPOT,JUMBO BAG VINTAGE LEAF,0.08255357681859342,0.049351041352248715,0.022789012979172955,0.2760511882998172,5.59362438432596,0.01871490799582251,1.3131438898492929,0.895120428704181,007026
JUMBO BAG VINTAGE DOILY ,JUMBO BAG VINTAGE LEAF,0.07078176878961666,0.049351041352248715,0.02429821913673408,0.3432835820895523,6.955954174083711,0.020805065138212397,1.4475790961227124,0.9214609034608893,008026
JUMBO BAG RED RETROSPOT,JUMBO SHOPPER VINTAGE RED PAISLEY,0.08255357681859342,0.038031995170540296,0.01780863265922125,0.21572212065813526,5.67212210905081,0.014668955424345676,1.2265652648991012,0.8978171588212824,007027
JUMBO BAG VINTAGE DOILY ,JUMBO SHOPPER VINTAGE RED PAISLEY,0.07078176878961666,0.038031995170540296,0.01524298219136734,0.21535181236673775,5.662385352150811,0.01255101030259834,1.2259863974592842,0.8861169046903066,008027
JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI,0.08255357681859342,0.035315424086930274,0.020676124358587383,0.25045703839122485,7.092001437522462,0.01776070978334578,1.2870303976206077,0.9362901841087483,007028
JUMBO BAG VINTAGE DOILY ,JUMBO STORAGE BAG SUKI,0.07078176878961666,0.035315424086930274,0.014941140959855116,0.21108742004264391,5.977201902575037,0.012441452777426759,1.2228028813600804,0.8961270984983832,008028
JUMBO BAG RED RETROSPOT,LUNCH BAG RED RETROSPOT,0.08255357681859342,0.054029580440688195,0.018714156353757925,0.22669104204753202,4.1956839234830925,0.0142538212343712,1.2232761690282354,0.830195437492372,007030
JUMBO BAG VINTAGE DOILY ,LUNCH BAG RED RETROSPOT,0.07078176878961666,0.054029580440688195,0.01509206157561123,0.21321961620469085,3.9463496563471554,0.011267752305058443,1.2023309668653586,0.8034724703589411,008030
PAPER CHAIN KIT VINTAGE CHRISTMAS,60 CAKE CASES VINTAGE CHRISTMAS,0.08149713250830064,0.05252037428312707,0.018714156353757925,0.22962962962962963,4.372200936568753,0.014433896451420373,1.2299014372286332,0.8397167481157178,011000
PAPER CHAIN KIT VINTAGE CHRISTMAS,BOX OF 6 MINI VINTAGE CRACKERS,0.08149713250830064,0.04406881980078479,0.017959553274977363,0.22037037037037038,5.000596144089295,0.014368070828188383,1.2261350054811786,0.8710085414382643,011002
PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS ,0.08149713250830064,0.11605795351645035,0.05418050105644431,0.6648148148148149,5.728300341954439,0.04472211064007196,2.6371751663045133,0.8986669254153786,011032
JUMBO BAG 50'S CHRISTMAS ,PAPER CHAIN KIT 50'S CHRISTMAS ,0.07440386356776335,0.11605795351645035,0.024901901599758528,0.334685598377282,2.883779941284617,0.016266741460366736,1.328608014988994,0.7057429010469937,006032
HAND WARMER OWL DESIGN,PAPER CHAIN KIT 50'S CHRISTMAS ,0.06881980078478721,0.11605795351645035,0.017506791427709025,0.25438596491228066,2.191887390778637,0.009519706187216818,1.1855222741073488,0.5839602079025317,003032
POPCORN HOLDER,PAPER CHAIN KIT 50'S CHRISTMAS ,0.06399034108059161,0.11605795351645035,0.015544823422879566,0.2429245283018868,2.09313124125917,0.008118235392246462,1.1675745411496108,0.5579503010303599,012032
LOVE HOT WATER BOTTLE,PAPER CHAIN KIT 50'S CHRISTMAS ,0.062481134923030486,0.11605795351645035,0.01448837911258678,0.2318840579710145,1.9980022992404969,0.007236946460034645,1.1507924756106591,0.5327893593045718,009032
GARDENERS KNEELING PAD KEEP CALM ,PAPER CHAIN KIT 50'S CHRISTMAS ,0.06414126169634772,0.11605795351645035,0.014941140959855116,0.23294117647058823,2.0071108391340933,0.007497037391413915,1.1523784348328485,0.5361614858470205,002032
HOT WATER BOTTLE TEA AND SYMPATHY,PAPER CHAIN KIT 50'S CHRISTMAS ,0.06353757923332327,0.11605795351645035,0.012979172955025656,0.2042755344418052,1.7601166335648912,0.005605131537816843,1.110864482297237,0.4611566066375578,005032
WOODEN STAR CHRISTMAS SCANDINAVIAN,PAPER CHAIN KIT 50'S CHRISTMAS ,0.06097192876546936,0.11605795351645035,0.013281014186537881,0.21782178217821782,1.8768363182221994,0.006204736912066716,1.1301031227194749,0.49752345051284297,016032
PAPER CHAIN KIT VINTAGE CHRISTMAS,SET OF 20 VINTAGE CHRISTMAS NAPKINS,0.08149713250830064,0.05689707214005433,0.019619680048294598,0.24074074074074073,4.231162196679438,0.014982731820762249,1.2421355635228553,0.831416365428853,011039
JUMBO BAG 50'S CHRISTMAS ,JUMBO BAG RED RETROSPOT,0.07440386356776335,0.08255357681859342,0.01977060066405071,0.2657200811359027,3.2187591546736583,0.013628295597409214,1.2494505155481586,0.7447322269837932,006022
JUMBO BAG VINTAGE DOILY ,JUMBO BAG RED RETROSPOT,0.07078176878961666,0.08255357681859342,0.03244793238756414,0.4584221748400853,5.553026198337121,0.026604644200434603,1.6940250884727546,0.8823740042530528,008022
JUMBO BAG 50'S CHRISTMAS ,JUMBO BAG VINTAGE CHRISTMAS ,0.07440386356776335,0.049501961968004826,0.03093872623000302,0.41582150101419885,8.400101419878299,0.027255589005398977,1.6270678220478252,0.9517691178868416,006024
JUMBO BAG VINTAGE DOILY ,JUMBO BAG VINTAGE CHRISTMAS ,0.07078176878961666,0.049501961968004826,0.016299426501660125,0.2302771855010661,4.651879972957513,0.01279559007500841,1.234857561875362,0.8448318384975847,008024
JUMBO BAG VINTAGE DOILY ,JUMBO BAG PAISLEY PARK,0.07078176878961666,0.04557802595834591,0.014186537881074554,0.20042643923240938,4.39743571640379,0.010960444585803768,1.1936637488680952,0.8314459584143977,008019
JUMBO BAG VINTAGE DOILY ,JUMBO BAG PEARS,0.07078176878961666,0.028071234530636886,0.014639299728342891,0.2068230277185501,7.367792374532865,0.012652368096156247,1.2253618037772347,0.9301088862061285,008020
JUMBO BAG VINTAGE DOILY ,LUNCH BAG VINTAGE DOILY ,0.07078176878961666,0.05870811952912768,0.023543616057953517,0.3326226012793177,5.665700144156193,0.01938815151536962,1.4104341595553964,0.8862280997655367,008031
JUMBO BAG VINTAGE DOILY ,VINTAGE DOILY JUMBO BAG RED ,0.07078176878961666,0.035315424086930274,0.015544823422879566,0.21961620469083157,6.218705009749787,0.013045135240451209,1.2361668472765839,0.9031191902499484,008042
REGENCY CAKESTAND 3 TIER,GREEN REGENCY TEACUP AND SAUCER,0.07063084817386055,0.028222155146392997,0.015393902807123452,0.21794871794871795,7.722610722610723,0.013400548051839432,1.242601178665268,0.9366677492692433,013005
REGENCY CAKESTAND 3 TIER,ROSES REGENCY TEACUP AND SAUCER ,0.07063084817386055,0.031995170540295804,0.017355870811952914,0.24572649572649574,7.680112078696985,0.015096024779224504,1.2833605104451604,0.9358967479559992,013037
REGENCY CAKESTAND 3 TIER,SET OF 3 REGENCY CAKE TINS,0.07063084817386055,0.050558406278297614,0.01931783881678237,0.2735042735042735,5.409669600714376,0.015746855699027576,1.3068784290051665,0.8770958509256253,013040
HAND WARMER OWL DESIGN,HAND WARMER BIRD DESIGN,0.06881980078478721,0.05448234228795654,0.03259885300332025,0.4736842105263157,8.694270301793262,0.028849389060774493,1.7964835496528822,0.9503871781019269,003007
HAND WARMER OWL DESIGN,HAND WARMER RED LOVE HEART,0.06881980078478721,0.054331421672200425,0.029429520072441897,0.4276315789473684,7.870796783625731,0.025690442456606795,1.6522025736301784,0.937464156588954,003009
SCOTTIE DOG HOT WATER BOTTLE,HAND WARMER RED LOVE HEART,0.06036824630244492,0.054331421672200425,0.012224569876245095,0.20249999999999999,3.7271249999999996,0.008944677230775706,1.1857913207872095,0.7787057857729235,014009
HAND WARMER OWL DESIGN,HAND WARMER RED RETROSPOT,0.06881980078478721,0.03969212194385753,0.02173256866888017,0.3157894736842105,7.95597358415049,0.019000964743978416,1.403526898697439,0.9389249054565101,003010
HAND WARMER OWL DESIGN,HAND WARMER SCOTTY DOG DESIGN,0.06881980078478721,0.056444310292785994,0.03290069423483248,0.4780701754385965,8.469767332770429,0.029016208045048234,1.8078209853213851,0.947113139934278,003011
SCOTTIE DOG HOT WATER BOTTLE,HAND WARMER SCOTTY DOG DESIGN,0.06036824630244492,0.056444310292785994,0.017506791427709025,0.29,5.137807486631016,0.014099347401582493,1.3289516756439634,0.8571064612248966,014011
HAND WARMER OWL DESIGN,HAND WARMER UNION JACK,0.06881980078478721,0.05086024750980984,0.02520374283127075,0.36622807017543857,7.200674163152689,0.02170355072978067,1.497604592164452,0.9247663506051106,003012
HAND WARMER OWL DESIGN,HOT WATER BOTTLE KEEP CALM,0.06881980078478721,0.099456685783278,0.019619680048294598,0.2850877192982456,2.8664510289380507,0.012775090745974228,1.2596556787816724,0.699259443959606,003014
CHOCOLATE HOT WATER BOTTLE,HOT WATER BOTTLE KEEP CALM,0.06610322970117719,0.099456685783278,0.034560821008149716,0.5228310502283106,5.256871834313787,0.027986412862499886,1.8872630221383937,0.8670902690938653,001014
LOVE HOT WATER BOTTLE,HOT WATER BOTTLE KEEP CALM,0.062481134923030486,0.099456685783278,0.030033202535466343,0.48067632850241543,4.833021779449172,0.023819035932043903,1.7340694515615016,0.8459457622950555,009014
GARDENERS KNEELING PAD KEEP CALM ,HOT WATER BOTTLE KEEP CALM,0.06414126169634772,0.099456685783278,0.01856323573800181,0.2894117647058823,2.909927697938052,0.012183958427725149,1.267320889212274,0.7013332494234471,002014
HOT WATER BOTTLE TEA AND SYMPATHY,HOT WATER BOTTLE KEEP CALM,0.06353757923332327,0.099456685783278,0.03259885300332025,0.513064133016627,5.158669112850031,0.02627961595008149,1.8494084648060483,0.8608477333094576,005014
SCOTTIE DOG HOT WATER BOTTLE,HOT WATER BOTTLE KEEP CALM,0.06036824630244492,0.099456685783278,0.025505584062782975,0.42249999999999993,4.24808042488619,0.019501558358993178,1.5593823622800378,0.8137225644700501,014014
CHOCOLATE HOT WATER BOTTLE,RETROSPOT HEART HOT WATER BOTTLE,0.06610322970117719,0.04286145487473589,0.014941140959855116,0.22602739726027396,5.273442021994984,0.012107860362943808,1.2366568813122882,0.8677303089067795,001035
LOVE HOT WATER BOTTLE,RETROSPOT HEART HOT WATER BOTTLE,0.062481134923030486,0.04286145487473589,0.01448837911258678,0.2318840579710145,5.410083690549092,0.011810346767561025,1.2460860304460986,0.8694864777849325,009035
SCOTTIE DOG HOT WATER BOTTLE,RETROSPOT HEART HOT WATER BOTTLE,0.06036824630244492,0.04286145487473589,0.01780863265922125,0.295,6.882640845070422,0.015221161794462064,1.3576433264188141,0.9096190388039223,014035
LOVE HOT WATER BOTTLE,GREY HEART HOT WATER BOTTLE,0.062481134923030486,0.04240869302746755,0.013582855418050106,0.2173913043478261,5.12610242921244,0.010933112147091525,1.2235888922426805,0.8585640695428205,009006
SCOTTIE DOG HOT WATER BOTTLE,GREY HEART HOT WATER BOTTLE,0.06036824630244492,0.04240869302746755,0.013431934802293993,0.22249999999999998,5.246565836298932,0.010871796376247054,1.231628690639913,0.8614003616584313,014006
GARDENERS KNEELING PAD KEEP CALM ,GARDENERS KNEELING PAD CUP OF TEA ,0.06414126169634772,0.0516148505885904,0.03652278901297917,0.5694117647058824,11.031936704506364,0.03321214737395851,2.2025338169390665,0.9716787881453405,002004
BAKING SET 9 PIECE RETROSPOT ,BAKING SET SPACEBOY DESIGN,0.06338665861756716,0.02837307576214911,0.022185330516148506,0.35,12.33563829787234,0.020386856048882792,1.4948106526736167,0.9811242576308642,000001
BAKING SET 9 PIECE RETROSPOT ,RETROSPOT TEA SET CERAMIC 11 PC ,0.06338665861756716,0.055387865982493206,0.01931783881678237,0.30476190476190473,5.502322563902945,0.015806987064194512,1.358688685915592,0.873635393167902,000036
HOT WATER BOTTLE TEA AND SYMPATHY,HAND WARMER OWL DESIGN,0.06353757923332327,0.06881980078478721,0.013130093570781768,0.2066508313539192,3.0027815976997116,0.008757450025596827,1.1737331253580976,0.7122287365583927,005008
SCOTTIE DOG HOT WATER BOTTLE,HAND WARMER OWL DESIGN,0.06036824630244492,0.06881980078478721,0.01569574403863568,0.26,3.7779824561403506,0.011541213354374453,1.2583516205610983,0.7825496058711606,014008
WOODEN STAR CHRISTMAS SCANDINAVIAN,SET OF 3 WOODEN HEART DECORATIONS,0.06097192876546936,0.042710534258979777,0.012224569876245095,0.2004950495049505,4.694276318091173,0.009620426223871442,1.1973527682952698,0.8380735819930076,016041
WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN,0.06097192876546936,0.05946272260790824,0.045879867189858134,0.7524752475247525,12.65457104086043,0.042254310302807886,3.799770600664051,0.9807770390295893,016043
WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN TREE CHRISTMAS SCANDINAVIAN,0.06097192876546936,0.038031995170540296,0.03184424992453969,0.5222772277227723,13.732575043218608,0.029525365824192837,2.013653232907263,0.9873830971282149,016044
