pred_spend,pred_prob,CustomerID,recency,frequency,monetary_sum,spend_90_days,spend_90_days_flag
0.23551658,0.25958732,12346.0,325.0,1,77183.6,0.0,0.0
686.8152,0.746531,12347.0,129.0,124,2790.86,1519.14,1.0
350.6893,0.64673805,12348.0,248.0,28,1487.24,310.0,1.0
141.21437,0.33044636,12350.0,310.0,17,334.4,0.0,0.0
429.1059,0.5718595,12352.0,262.0,38,1561.81,944.23,1.0
141.21437,0.47622624,12353.0,204.0,4,89.0,0.0,0.0
237.94444,0.52526444,12354.0,232.0,58,1079.4,0.0,0.0
141.21437,0.41074923,12355.0,214.0,13,459.4,0.0,0.0
635.5507,0.61837524,12356.0,245.0,57,2753.08,58.349999999999994,1.0
141.21437,0.52504766,12358.0,150.0,12,484.86,683.2,1.0
914.07166,0.70605457,12359.0,189.0,143,3495.73,2876.85,1.0
485.443,0.6749481,12360.0,112.0,75,1618.28,1043.78,1.0
141.21437,0.3876584,12361.0,287.0,10,189.9,0.0,0.0
485.443,0.7372281,12362.0,120.0,105,1747.35,3478.88,1.0
181.77557,0.49546587,12363.0,109.0,23,552.0,0.0,0.0
181.77557,0.58908004,12364.0,112.0,34,623.92,689.18,1.0
201.81711,0.38689584,12365.0,291.0,22,641.38,0.0,0.0
629.2093,0.6352072,12370.0,274.0,139,2806.41,739.28,1.0
217.85812,0.5559882,12372.0,212.0,39,914.9200000000001,383.12,1.0
141.21437,0.34648734,12373.0,311.0,14,364.6,0.0,0.0
141.21437,0.47121674,12375.0,98.0,11,230.3,227.20000000000002,1.0
453.4044,0.4647487,12377.0,315.0,77,1628.12,0.0,0.0
914.07166,0.7488575,12378.0,129.0,219,4008.62,0.0,0.0
141.21437,0.49654645,12379.0,170.0,20,459.84,392.40000000000003,1.0
181.77557,0.58612746,12380.0,185.0,36,607.5500000000001,2117.26,1.0
356.25272,0.6539774,12381.0,119.0,62,1268.74,576.57,1.0
485.443,0.69771934,12383.0,184.0,99,1850.56,0.0,0.0
141.21437,0.5197232,12384.0,121.0,14,292.69,292.58,1.0
141.21437,0.37830412,12386.0,337.0,10,401.9,0.0,0.0
485.443,0.65158165,12388.0,148.0,70,1668.3400000000001,1112.3200000000002,1.0
217.85812,0.58329624,12393.0,245.0,39,1061.1000000000001,521.5,1.0
141.21437,0.41178066,12394.0,217.0,21,381.08,891.4,1.0
485.443,0.7372281,12395.0,112.0,96,1899.57,1119.06,1.0
356.25272,0.6539774,12397.0,135.0,70,1214.81,1195.09,1.0
649.2066,0.65133655,12399.0,119.0,59,1108.65,0.0,0.0
